112,143
134,135
12,26
23,163
81,170
4,39
35,120
10,27
17,199
65,72
20,130
75,169
15,74
17,229
202,214
151,155
5,161
215,222
25,54
11,171
15,26
38,192
110,115
183,201
189,200
36,81
17,30
50,77
37,61
141,152
63,165
158,159
50,136
24,43
17,73
185,195
29,48
25,29
28,47
30,126
34,37
5,204
16,18
35,135
22,53
17,220
29,211
7,195
53,211
8,17
37,76
193,200
50,201
229,231
37,72
43,75
142,145
1,20
50,194
33,41
64,70
71,73
10,70
85,89
1,5
61,190
36,230
43,84
36,221
227,231
41,50
6,90
107,200
127,221
187,195
9,30
20,44
2,47
36,147
5,12
17,162
38,171
50,225
1,202
33,60
6,30
14,48
1,89
93,101
198,200
61,119
107,195
44,143
116,187
94,103
7,225
111,114
134,213
17,103
35,179
92,112
7,39
173,177
11,39
138,169
43,88
84,89
5,236
5,222
1,46
3,42
14,39
58,62
36,100
179,184
30,43
20,78
75,223
17,110
17,107
1,77
184,187
76,203
83,90
19,46
93,116
48,135
166,228
20,85
5,139
17,136
112,151
61,137
166,167
43,90
8,27
76,218
17,152
15,49
38,92
1,11
96,183
38,82
7,11
1,75
19,43
44,222
11,173
99,112
25,41
6,235
70,86
61,83
23,238
147,223
182,199
78,80
164,197
75,164
1,181
116,216
83,89
5,115
53,201
2,46
11,217
5,108
21,37
36,132
60,67
15,30
93,169
48,133
33,120
9,18
5,144
78,162
78,166
69,112
12,84
23,43
5,232
101,105
40,237
43,54
44,148
85,161
74,96
57,66
6,12
144,149
76,90
101,223
74,221
5,215
26,41
107,116
81,158
76,221
28,43
13,211
17,57
116,199
3,16
36,65
61,76
227,239
2,15
62,164
56,71
28,36
28,48
90,237
30,61
100,108
160,162
6,8
44,51
27,44
44,144
3,8
49,55
50,113
50,155
35,194
6,93
31,32
38,101
17,94
74,169
33,212
184,194
5,106
161,221
11,223
10,135
11,116
61,158
98,112
17,209
5,107
46,54
27,45
29,39
164,166
35,51
50,62
32,135
91,95
69,73
30,70
33,59
23,234
50,198
15,53
5,235
10,30
11,212
63,123
201,213
95,113
116,125
226,232
61,79
78,161
159,166
116,220
23,225
201,206
18,36
96,101
38,44
7,183
173,174
13,49
9,17
17,146
30,117
140,147
20,133
4,55
53,214
43,169
7,55
29,116
93,114
183,188
29,170
30,134
4,45
36,208
141,151
18,34
30,45
9,34
44,121
11,54
232,238
50,177
17,43
90,163
51,53
43,83
5,227
5,59
228,239
202,210
36,112
107,134
30,46
102,110
44,168
134,210
7,138
11,40
111,115
147,222
50,238
10,77
202,206
50,170
52,122
149,153
20,28
36,155
5,37
1,40
2,87
96,169
119,126
20,138
25,48
206,208
50,224
138,139
16,38
28,29
29,183
52,138
20,125
47,49
33,68
165,180
166,169
61,202
3,4
107,214
9,35
33,189
17,167
76,167
5,75
35,202
227,238
7,90
17,75
50,148
145,148
172,176
35,211
96,220
5,14
116,185
35,136
34,35
143,148
146,151
84,88
118,126
76,81
77,82
208,211
36,216
74,82
134,209
101,107
17,113
63,124
29,62
52,126
5,218
169,220
10,130
113,115
13,35
40,55
5,51
32,38
3,34
96,107
36,173
48,121
20,30
36,237
154,157
43,165
33,44
220,221
19,38
44,151
58,72
33,40
17,85
116,181
78,88
36,209
63,132
35,87
95,110
33,134
44,192
58,69
148,165
10,81
36,159
12,82
5,205
5,124
3,20
50,104
33,158
7,236
188,196
29,47
11,215
60,62
229,236
5,170
107,206
164,189
21,32
75,90
105,112
134,203
216,218
36,51
3,11
17,232
9,39
52,163
28,42
164,188
59,69
6,35
12,36
11,204
190,193
10,34
191,197
134,206
94,104
35,123
182,184
10,33
10,22
14,41
5,191
15,46
17,225
39,55
29,45
7,85
148,154
36,53
16,42
36,134
44,170
8,41
146,149
2,112
6,49
153,157
103,106
30,119
147,217
229,233
106,115
158,166
50,106
211,214
31,50
36,122
63,184
50,188
36,117
129,136
17,154
32,51
30,90
202,207
6,189
6,89
10,48
44,202
17,102
50,112
52,85
17,65
97,113
35,118
17,100
35,174
37,160
33,117
61,117
17,201
1,185
5,58
20,25
32,138
11,107
43,115
44,149
40,233
77,80
41,51
87,163
5,66
61,209
118,122
128,136
35,74
107,198
13,81
13,28
29,210
161,164
4,37
50,70
35,46
88,165
20,135
64,67
185,200
36,235
40,164
94,102
11,79
35,131
180,182
93,106
174,199
2,22
141,148
101,147
50,159
225,227
107,171
7,132
87,168
33,38
33,58
48,52
11,74
116,192
24,37
76,163
2,166
62,68
90,236
5,103
93,95
230,239
161,166
133,135
4,38
44,203
36,56
6,133
33,160
38,167
29,223
36,125
30,47
227,229
8,14
32,161
80,89
112,142
7,25
124,200
81,171
36,181
211,212
95,99
62,72
2,39
17,128
194,196
41,47
13,31
23,236
17,53
11,148
29,43
9,21
94,108
56,59
1,212
166,168
100,101
235,238
6,138
17,224
9,13
43,53
6,47
79,84
22,28
60,73
17,49
22,45
21,53
158,170
179,199
50,115
2,167
53,206
189,195
85,169
76,158
76,216
230,237
92,106
107,179
17,204
76,219
135,138
60,66
190,197
164,182
44,161
6,20
118,125
47,48
44,65
1,70
218,222
32,81
7,128
43,94
101,110
50,125
7,131
35,164
92,101
1,87
1,12
181,183
4,43
13,161
37,88
7,61
5,72
12,40
229,235
74,79
116,147
5,94
87,159
15,87
98,101
93,105
17,168
108,113
